"","R-1","R-2","R-3","R-4","R-5"
"cluster-0",0.81305114638448,4.08906525573192,12.1375661375661,3.54232804232804,2.57936507936508
"cluster-1",0.85982478097622,5.1639549436796,17.5744680851064,3.03629536921151,2.52941176470588
"cluster-2",1.26617647058824,7.09852941176471,9.51176470588235,14.4779411764706,5.28088235294118
"cluster-3",1.86504424778761,18.1769911504425,12.2323008849558,4.77433628318584,4.87389380530973
"cluster-4",0.81413612565445,5.1282722513089,18.3062827225131,3.35602094240838,2.84031413612565
"cluster-5",0.968847352024922,5.08411214953271,8.5607476635514,18.3395638629283,7.18691588785047
"cluster-6",1.22257053291536,4.82758620689655,8.33542319749216,13.4514106583072,16.4670846394984
"cluster-7",0.869426751592357,9.73566878980892,8.4171974522293,7.07643312101911,11.0636942675159
"cluster-8",1.23076923076923,10.0473372781065,11.8816568047337,5.61538461538462,2.46153846153846
"cluster-9",2.10416666666667,12.0416666666667,8.16666666666667,4.625,2.70833333333333
"cluster-10",1.53488372093023,2.7906976744186,9.18604651162791,6.44186046511628,2
